equipo,elo,p_octavos,p_cuartos,p_semis,p_finalista,p_campeon,llego_octavos,llego_cuartos,llego_semis,llego_final,campeon_real
Brazil,2130,93.5,68.0,44.9,32.6,21.8,True,True,False,False,False
Germany,2091,90.9,61.2,35.7,24.9,15.4,False,False,False,False,False
Spain,2048,83.8,66.5,42.6,26.5,13.9,True,False,False,False,False
Portugal,2000,77.5,57.5,31.3,17.6,8.4,True,False,False,False,False
France,1994,77.1,48.7,29.7,15.1,7.3,True,True,True,True,True
Argentina,1983,82.2,47.7,28.8,14.8,6.4,True,False,False,False,False
England,1940,81.8,50.5,28.1,10.6,5.1,True,True,True,False,False
Belgium,1929,80.9,48.3,26.4,9.8,4.4,True,True,True,False,False
Colombia,1927,77.7,42.8,24.2,8.9,3.8,True,False,False,False,False
Uruguay,1876,85.9,35.7,15.3,7.0,2.5,True,True,False,False,False
Peru,1906,58.9,30.7,14.9,6.3,2.5,False,False,False,False,False
Poland,1830,59.1,26.4,11.6,3.3,1.3,False,False,False,False,False
Croatia,1853,55.7,24.8,9.7,3.8,1.2,True,True,True,True,False
Switzerland,1878,55.2,22.3,7.1,3.1,1.2,True,False,False,False,False
Denmark,1841,41.8,19.7,8.0,3.1,1.1,True,False,False,False,False
Mexico,1858,50.8,18.0,5.2,2.2,0.8,True,False,False,False,False
Iran,1796,25.6,13.8,4.7,1.7,0.5,False,False,False,False,False
Sweden,1795,35.8,10.6,2.8,1.1,0.4,True,True,False,False,False
Iceland,1787,39.8,14.5,5.2,1.6,0.4,False,False,False,False,False
Senegal,1742,37.3,13.3,4.6,1.0,0.3,False,False,False,False,False
Russia,1684,51.4,10.7,2.5,0.6,0.2,True,True,False,False,False
Australia,1734,22.2,7.9,2.3,0.7,0.2,False,False,False,False,False
Serbia,1770,27.9,8.0,1.9,0.7,0.2,False,False,False,False,False
Morocco,1709,13.0,5.7,1.6,0.5,0.1,False,False,False,False,False
South Korea,1732,22.6,5.6,1.0,0.3,0.1,False,False,False,False,False
Panama,1661,19.7,6.1,1.6,0.3,0.1,False,False,False,False,False
Nigeria,1698,22.2,5.9,1.5,0.4,0.1,False,False,False,False,False
Costa Rica,1743,23.5,6.3,1.4,0.5,0.1,False,False,False,False,False
Japan,1693,25.9,7.4,2.2,0.4,0.1,True,False,False,False,False
Saudi Arabia,1565,23.9,3.1,0.5,0.0,0.0,False,False,False,False,False
Egypt,1641,38.8,7.0,1.4,0.4,0.0,False,False,False,False,False
Tunisia,1653,17.6,5.1,1.2,0.1,0.0,False,False,False,False,False
