country,rating,rank,confederation,snapshot_date
Spain,2165,1,UEFA,2026-05-27
Argentina,2113,2,CONMEBOL,2026-05-27
France,2081,3,UEFA,2026-05-27
England,2020,4,UEFA,2026-05-27
Brazil,1984,5,CONMEBOL,2026-05-27
Portugal,1984,5,UEFA,2026-05-27
Colombia,1975,7,CONMEBOL,2026-05-27
Netherlands,1961,8,UEFA,2026-05-27
Ecuador,1933,9,CONMEBOL,2026-05-27
Croatia,1930,10,UEFA,2026-05-27
Germany,1923,11,UEFA,2026-05-27
Norway,1912,12,UEFA,2026-05-27
Japan,1904,13,AFC,2026-05-27
Turkey,1902,14,UEFA,2026-05-27
Uruguay,1892,15,CONMEBOL,2026-05-27
Switzerland,1889,16,UEFA,2026-05-27
Senegal,1878,17,CAF,2026-05-27
Belgium,1867,19,UEFA,2026-05-27
Mexico,1860,20,CONCACAF,2026-05-27
Paraguay,1833,22,CONMEBOL,2026-05-27
Austria,1827,23,UEFA,2026-05-27
Morocco,1822,24,CAF,2026-05-27
Canada,1784,25,CONCACAF,2026-05-27
Australia,1783,26,AFC,2026-05-27
Scotland,1767,29,UEFA,2026-05-27
Iran,1760,31,AFC,2026-05-27
South Korea,1752,33,AFC,2026-05-27
Algeria,1743,35,CAF,2026-05-27
Panama,1737,36,CONCACAF,2026-05-27
Uzbekistan,1727,38,AFC,2026-05-27
Czech Republic,1726,40,UEFA,2026-05-27
United States,1721,41,CONCACAF,2026-05-27
Sweden,1719,43,UEFA,2026-05-27
Jordan,1690,50,AFC,2026-05-27
Egypt,1689,51,CAF,2026-05-27
Ivory Coast,1676,52,CAF,2026-05-27
DR Congo,1655,54,CAF,2026-05-27
Tunisia,1636,58,CAF,2026-05-27
Iraq,1607,63,AFC,2026-05-27
Bosnia and Herzegovina,1594,66,UEFA,2026-05-27
New Zealand,1585,68,OFC,2026-05-27
Saudi Arabia,1568,71,AFC,2026-05-27
Cape Verde,1549,72,CAF,2026-05-27
Haiti,1532,77,CONCACAF,2026-05-27
South Africa,1524,79,CAF,2026-05-27
Ghana,1503,82,CAF,2026-05-27
Curaçao,1436,90,CONCACAF,2026-05-27
Qatar,1425,95,AFC,2026-05-27
